Comunidade,Tamanho,Densidade,Densidade Espacial,Fator escolha,Lat,Lon,Porcentagem Crimes,Porcentagem Armas,Porcentagem Horarios,Areas,Subareas
1135,3,0.458544321485618,719.391481630707,989.618636480657,34.2532666666667,-118.3092,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.333, 'Tarde': 0.0, 'Noite': 0.333, 'Madrugada': 0.333}",{'Foothill'},{1656}
1136,2,0.595633942413059,0,0,34.2817,-118.379,{'roubo': 1.0},"{'armas de fogo': 0.5, 'Indefinido': 0.5}","{'Manha': 0.0, 'Tarde': 0.5, 'Noite': 0.5, 'Madrugada': 0.0}",{'Foothill'},{1606}
1137,3,0.377072328024333,1071.42857143107,1212.0181972239,34.2529,-118.4837,"{'roubo': 0.667, 'agressao leve': 0.333}","{'Indefinido': 0.667, 'força fisica e ameacas': 0.333}","{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Devonshire'},{1758}
1138,2,0.342297394129561,1386.7504905663,949.362158457473,34.142,-118.2699,"{'agressao leve': 0.5, 'vandalismo': 0.5}","{'armas de fogo semiautomaticas': 0.5, 'Indefinido': 0.5}","{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'Northeast'},{1102}
1139,1,0,0,0,34.1019,-118.2264,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 1.0, 'Tarde': 0.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Northeast'},{1147}
1140,2,0.370915642060755,0,0,34.3023,-118.4557,"{'roubo': 0.5, 'vandalismo': 0.5}",{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.5, 'Noite': 0.5, 'Madrugada': 0.0}",{'Mission'},"{1913, 1925}"
1141,1,0,0,0,33.8604,-118.3092,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 1.0, 'Tarde': 0.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Harbor'},{501}
1142,3,0.560197742450077,1425.18656832992,2395.15889444578,33.9883333333333,-118.343933333333,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.333, 'Noite': 0.333, 'Madrugada': 0.333}",{'77th Street'},{1231}
1143,1,0,0,0,34.276,-118.5364,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 0.0, 'Madrugada': 1.0}",{'Devonshire'},{1714}
1144,2,0.442684281363388,476.19047619078,421.604077489211,34.1123,-118.31235,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Hollywood'},{629}
1145,1,0,0,0,34.1299,-118.377,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 0.0, 'Madrugada': 1.0}",{'N Hollywood'},{1596}
1146,2,0.470729359973164,587.220219514777,552.843596190984,34.21985,-118.64265,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'Topanga'},{2102}
1147,6,0.39107230474367,1099.91567646063,2580.8793517029,34.1872666666667,-118.64275,"{'roubo': 0.667, 'agressao leve': 0.333}","{'Indefinido': 0.667, 'força fisica e ameacas': 0.333}","{'Manha': 0.167, 'Tarde': 0.833, 'Noite': 0.0, 'Madrugada': 0.0}",{'Topanga'},"{2141, 2142}"
1148,1,0,0,0,34.1092,-118.4468,{'vandalismo': 1.0},{'Indefinido': 1.0},"{'Manha': 1.0, 'Tarde': 0.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'West LA'},{807}
1149,1,0,0,0,34.2613,-118.5523,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Devonshire'},{1727}
1150,2,0.527760569092168,1104.31526074721,1165.62810093823,34.03825,-118.52985,{'roubo': 1.0},"{'força fisica e ameacas': 0.5, 'Indefinido': 0.5}","{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 0.5, 'Madrugada': 0.5}",{'West LA'},{823}
1151,1,0,0,0,34.0961,-118.4405,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'West LA'},{807}
1152,1,0,0,0,34.2426,-118.6217,{'crime sexual': 1.0},{'objetos cortantes': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Devonshire'},{1761}
1153,3,0.316674498384342,832.05029433569,790.467328767897,34.0495666666667,-118.5407,"{'roubo': 0.667, 'vandalismo': 0.333}",{'Indefinido': 1.0},"{'Manha': 0.333, 'Tarde': 0.333, 'Noite': 0.333, 'Madrugada': 0.0}",{'West LA'},{811}
1154,4,0.246902806624274,459.67096110726,453.97620168424,34.3187,-118.45,"{'roubo': 0.5, 'vandalismo': 0.5}","{'Indefinido': 0.75, 'armas de fogo': 0.25}","{'Manha': 0.25, 'Tarde': 0.0, 'Noite': 0.75, 'Madrugada': 0.0}",{'Mission'},{1902}
1155,2,0.632463037070298,3162.27766019822,4000.04746605704,34.20885,-118.40825,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.5, 'Noite': 0.5, 'Madrugada': 0.0}",{'N Hollywood'},{1502}
1156,1,0,0,0,34.1619,-118.4869,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'West Valley'},{1078}
1157,2,0.598483971843957,0,0,34.1299,-118.3272,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.5, 'Tarde': 0.0, 'Noite': 0.5, 'Madrugada': 0.0}",{'Hollywood'},{615}
1158,1,0,0,0,34.0721,-118.456,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'West LA'},{815}
1159,2,0.301270344425885,0,0,34.0155,-118.4125,"{'roubo': 0.5, 'golpes': 0.5}",{'Indefinido': 1.0},"{'Manha': 0.5, 'Tarde': 0.5, 'Noite': 0.0, 'Madrugada': 0.0}",{'Pacific'},{1438}
1160,1,0,0,0,34.2141,-118.4859,{'agressao leve': 1.0},{'força fisica e ameacas': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'West Valley'},{1008}
1161,4,0.285795649929656,857.142857145725,979.870799762099,33.9931,-118.33555,"{'vandalismo': 0.5, 'agressao grave': 0.25, 'roubo': 0.25}","{'Indefinido': 0.75, 'força fisica e ameacas': 0.25}","{'Manha': 0.25, 'Tarde': 0.25, 'Noite': 0.25, 'Madrugada': 0.25}",{'77th Street'},{1211}
1162,1,0,0,0,34.184,-118.6414,{'roubo': 1.0},{'força fisica e ameacas': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'Topanga'},{2142}
1163,1,0,0,0,34.1604,-118.5612,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'West Valley'},{1091}
1164,1,0,0,0,34.313,-118.5012,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 0.0, 'Madrugada': 1.0}",{'Devonshire'},{1705}
1165,1,0,0,0,34.1783,-118.6075,{'vandalismo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'Topanga'},{2175}
