Comunidade,Tamanho,Densidade,Densidade Espacial,Lat,Lon,Porcentagem Crimes,Porcentagem Armas,Porcentagem Horarios,Areas,Subareas,Tamanho_normalizado,Densidade_normalizado,Densidade Espacial_normalizado,Fator escolha
10,432,0.015776454991799096,0.6507637074662317,34.035198611111156,-118.43847592592584,"{'roubo': 0.618, 'vandalismo': 0.15, 'agressao leve': 0.153, 'golpes': 0.005, 'agressao grave': 0.06, 'crime sexual': 0.012, 'sequestro': 0.002}","{'Indefinido': 0.653, 'força fisica e ameacas': 0.174, 'explosivos e substancias quimicas': 0.007, 'outros': 0.086, 'armas de fogo': 0.028, 'objetos cortantes': 0.023, 'armas de fogo semiautomaticas': 0.009, 'armas de fogo automaticas': 0.005, 'objetos contundentes': 0.016}","{'Manha': 0.169, 'Tarde': 0.375, 'Noite': 0.315, 'Madrugada': 0.141}","{'Pacific', 'West LA'}","{891, 1425, 1426, 1427, 1428, 1437, 835, 847, 851, 853, 854, 881, 882, 883, 884, 885, 1401, 1403, 892, 893}",0.3824312333629104,0.01943234682749795,0.002407825717704989,0.010920086272601468
11,1128,0.009701523626201027,0.670243081212087,33.97055248226945,-118.28278608156053,"{'agressao grave': 0.241, 'roubo': 0.377, 'vandalismo': 0.137, 'agressao leve': 0.187, 'crime sexual': 0.044, 'sequestro': 0.007, 'homicidio': 0.005, 'golpes': 0.001}","{'armas de fogo semiautomaticas': 0.059, 'objetos cortantes': 0.056, 'outros': 0.096, 'Indefinido': 0.344, 'armas de fogo': 0.115, 'força fisica e ameacas': 0.276, 'armas de fogo automaticas': 0.015, 'objetos contundentes': 0.031, 'explosivos e substancias quimicas': 0.009}","{'Manha': 0.196, 'Tarde': 0.309, 'Noite': 0.291, 'Madrugada': 0.205}","{'Newton', 'Southeast', '77th Street'}","{1801, 1802, 1239, 1245, 1248, 1249, 1381, 1383, 1256, 1257, 1258, 1255, 1385, 1391, 1393, 1266, 1267, 1268, 1265, 1394, 1395}",1.0,0.011949666256297882,0.0024798994005670464,0.0072147828284324644
12,1,0.0,0.0,34.2383,-118.4807,{'vandalismo': 1.0},{'armas de fogo': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Devonshire'},{1779},0.0,0.0,0.0,0.0
13,341,0.015296848959278245,0.7128727014698132,34.05394310850443,-118.37698181818175,"{'roubo': 0.543, 'agressao leve': 0.22, 'golpes': 0.015, 'agressao grave': 0.065, 'vandalismo': 0.147, 'crime sexual': 0.009, 'homicidio': 0.003}","{'Indefinido': 0.622, 'força fisica e ameacas': 0.223, 'armas de fogo': 0.044, 'objetos cortantes': 0.015, 'outros': 0.062, 'armas de fogo semiautomaticas': 0.006, 'objetos contundentes': 0.018, 'explosivos e substancias quimicas': 0.012}","{'Manha': 0.185, 'Tarde': 0.349, 'Noite': 0.305, 'Madrugada': 0.161}","{'West LA', 'Wilshire'}","{762, 742, 743, 752, 849, 753, 887, 857, 858, 859, 763}",0.3016858917480036,0.018841601265877795,0.002637628995525869,0.010739615130701832
14,800,0.09566881480495738,2.262098116888843,34.04584725000004,-118.25114737499963,"{'vandalismo': 0.144, 'crime sexual': 0.01, 'roubo': 0.555, 'agressao leve': 0.16, 'agressao grave': 0.122, 'golpes': 0.006, 'sequestro': 0.003}","{'Indefinido': 0.565, 'força fisica e ameacas': 0.21, 'objetos cortantes': 0.046, 'objetos contundentes': 0.021, 'outros': 0.091, 'explosivos e substancias quimicas': 0.01, 'armas de fogo': 0.039, 'armas de fogo semiautomaticas': 0.014, 'armas de fogo automaticas': 0.004}","{'Manha': 0.204, 'Tarde': 0.319, 'Noite': 0.31, 'Madrugada': 0.168}","{'Newton', 'Central'}","{134, 135, 142, 143, 144, 145, 146, 1303, 152, 153, 154, 155, 1307, 163, 164, 165, 174, 176, 185}",0.7089618456078083,0.11783823367366004,0.008369763032766568,0.0631039983532133
15,878,0.02075758029655158,1.0175274481974765,34.06410353075168,-118.29443644646942,"{'roubo': 0.484, 'vandalismo': 0.167, 'agressao grave': 0.138, 'agressao leve': 0.173, 'golpes': 0.011, 'crime sexual': 0.022, 'sequestro': 0.002, 'homicidio': 0.002}","{'Indefinido': 0.571, 'armas de fogo': 0.046, 'objetos cortantes': 0.059, 'outros': 0.067, 'força fisica e ameacas': 0.211, 'armas de fogo semiautomaticas': 0.006, 'explosivos e substancias quimicas': 0.013, 'objetos contundentes': 0.027, 'armas de fogo automaticas': 0.001}","{'Manha': 0.213, 'Tarde': 0.313, 'Noite': 0.298, 'Madrugada': 0.175}",{'Olympic'},"{2049, 2058, 2069, 2014, 2015, 2016, 2017, 2019, 2023, 2024, 2025, 2026, 2027, 2029, 2034, 2035, 2036, 2038, 2039, 2044, 2045, 2046}",0.7781721384205856,0.025567752694246375,0.0037648515584556438,0.014666302126351009
16,724,0.019834839281624547,0.8598575439473518,34.16780718232054,-118.37382348066306,"{'roubo': 0.503, 'vandalismo': 0.211, 'agressao leve': 0.181, 'agressao grave': 0.083, 'crime sexual': 0.018, 'golpes': 0.003, 'sequestro': 0.001}","{'Indefinido': 0.664, 'força fisica e ameacas': 0.189, 'armas de fogo': 0.033, 'armas de fogo semiautomaticas': 0.004, 'outros': 0.061, 'objetos contundentes': 0.015, 'explosivos e substancias quimicas': 0.006, 'objetos cortantes': 0.023, 'armas de fogo automaticas': 0.004}","{'Manha': 0.191, 'Tarde': 0.312, 'Noite': 0.325, 'Madrugada': 0.173}",{'N Hollywood'},"{1538, 1539, 1547, 1548, 1549, 1555, 1557, 1526, 1527, 1529, 1535}",0.6415261756876663,0.02443118408974426,0.003181472912710816,0.013806328501227538
17,178,0.08041767351752784,1.1778497670920407,34.172477528089836,-118.46419157303377,"{'roubo': 0.708, 'vandalismo': 0.124, 'agressao grave': 0.062, 'agressao leve': 0.096, 'golpes': 0.006, 'crime sexual': 0.006}","{'Indefinido': 0.775, 'explosivos e substancias quimicas': 0.011, 'objetos contundentes': 0.022, 'força fisica e ameacas': 0.112, 'outros': 0.039, 'objetos cortantes': 0.017, 'armas de fogo': 0.017, 'armas de fogo semiautomaticas': 0.006}","{'Manha': 0.174, 'Tarde': 0.371, 'Noite': 0.354, 'Madrugada': 0.101}",{'Van Nuys'},"{961, 963, 932, 931, 941, 952}",0.15705412599822538,0.09905293195875889,0.004358044138385224,0.05170548804857206
18,59,0.20036552475426794,2.2060805111437634,33.79679152542373,-118.26180000000002,"{'roubo': 0.763, 'vandalismo': 0.102, 'crime sexual': 0.017, 'agressao grave': 0.068, 'agressao leve': 0.051}","{'armas de fogo semiautomaticas': 0.034, 'Indefinido': 0.814, 'outros': 0.017, 'força fisica e ameacas': 0.068, 'armas de fogo': 0.051, 'objetos contundentes': 0.017}","{'Manha': 0.186, 'Tarde': 0.441, 'Noite': 0.288, 'Madrugada': 0.085}",{'Harbor'},"{515, 516, 517, 518}",0.05146406388642413,0.24679640459929142,0.008162497891502892,0.12747945124539717
19,557,0.027693073612170452,0.9235373211101054,33.98952459605029,-118.47127378815074,"{'roubo': 0.53, 'agressao leve': 0.176, 'crime sexual': 0.023, 'vandalismo': 0.135, 'agressao grave': 0.135, 'golpes': 0.002}","{'Indefinido': 0.592, 'outros': 0.072, 'força fisica e ameacas': 0.217, 'objetos cortantes': 0.038, 'objetos contundentes': 0.038, 'explosivos e substancias quimicas': 0.014, 'armas de fogo': 0.009, 'armas de fogo semiautomaticas': 0.018, 'armas de fogo automaticas': 0.002}","{'Manha': 0.187, 'Tarde': 0.363, 'Noite': 0.323, 'Madrugada': 0.127}",{'Pacific'},"{1441, 1411, 1412, 1413, 1414, 1443, 1452, 1431, 1432}",0.4933451641526176,0.03411041399546754,0.003417088088220826,0.018763751041844183
